Return Value,Equivalent RSRP
0,-140
1,-139
2,-138
3,-137
4,-136
5,-135
6,-134
7,-133
8,-132
9,-131
10,-130
11,-129
12,-128
13,-127
14,-126
15,-125
16,-124
17,-123
18,-122
19,-121
20,-120
21,-119
22,-118
23,-117
24,-116
25,-115
26,-114
27,-113
28,-112
29,-111
30,-110
31,-109
32,-108
33,-107
34,-106
35,-105
36,-104
37,-103
38,-102
39,-101
40,-100
41,-99
42,-98
43,-97
44,-96
45,-95
46,-94
47,-93
48,-92
49,-91
50,-90
51,-89
52,-88
53,-87
54,-86
55,-85
56,-84
57,-83
58,-82
59,-81
60,-80
61,-79
62,-78
63,-77
64,-76
65,-75
66,-74
67,-73
68,-72
69,-71
70,-70
71,-69
72,-68
73,-67
74,-66
75,-65
76,-64
77,-63
78,-62
79,-61
80,-60
81,-59
82,-58
83,-57
84,-56
85,-55
86,-54
87,-53
88,-52
89,-51
90,-50
91,-49
92,-48
93,-47
94,-46
95,-45
96,-44
97,-43
